Country/Territory,GDP(US$million),Rank
World[19],"83,844,988",
United States,"20,807,269",1
China[n 1][a],"17,200,775",2
European Union[22][n 2],"14,926,538",—
Japan,"4,910,580",3
Germany,"3,780,553",4
United Kingdom,"2,638,296",5
India,"2,592,583",6
France,"2,551,451",7
Italy,"1,848,222",8
Canada,"1,600,264",9
South Korea,"1,586,786",10
Russia[n 3],"1,464,078",11
Brazil,"1,363,767",12
Australia,"1,334,688",13
Spain,"1,247,464",14
Indonesia,"1,088,768",15
Mexico,"1,040,372",16
Netherlands,"886,339",17
Switzerland,"707,868",18
Saudi Arabia,"680,897",19
Turkey,"649,436",20
Taiwan,"635,547",—
Iran,"610,662",21
Poland,"580,894",22
Sweden,"529,054",23
Thailand,"509,200",24
Belgium,"503,416",25
Nigeria,"442,976",26
Austria,"432,894",27
Ireland,"399,064",28
Israel,"383,425",29
Argentina,"382,760",30
Philippines,"367,362",31
Norway,"366,386",32
Egypt,"361,875",33
United Arab Emirates,"353,899",34
Hong Kong,"341,319",-
Vietnam,"340,602",36
Denmark,"339,626",37
Singapore,"337,451",38
Malaysia,"336,330",39
Bangladesh,"317,768",40
South Africa,"282,588",41
Pakistan (2019),"276,114",42
Finland,"267,856",43
Colombia,"264,933",44
Romania,"248,624",45
Chile,"245,414",46
Czech Republic,"241,975",47
Portugal,"221,716",48
Peru,"195,761",49
Greece,"194,376",50
New Zealand,"193,545",51
Iraq,"178,112",52
Kazakhstan,"165,730",53
Hungary,"149,939",54
Qatar,"147,791",55
Algeria,"147,323",56
Ukraine,"142,250",57
Morocco,"112,220",58
Kuwait,"108,656",59
Slovakia,"101,892",60
Kenya,"101,048",61
Ethiopia,"95,588",62
Puerto Rico,"93,968",—
Ecuador,"93,078",63
Sri Lanka,"81,120",64
Dominican Republic,"77,883",65
Guatemala,"76,191",66
Myanmar,"70,890",67
Luxembourg,"68,613",68
Bulgaria,"67,917",69
Ghana,"67,337",70
Tanzania,"64,123",71
Angola,"62,724",72
Oman,"62,305",73
Côte d'Ivoire,"61,502",74
Panama,"60,286",75
Uzbekistan,"59,771",76
Costa Rica,"59,645",77
Belarus,"57,708",78
Croatia,"56,768",79
Lithuania,"55,064",80
Uruguay,"54,135",81
Serbia,"51,999",82
Slovenia,"51,802",83
Venezuela,"48,610",84
Turkmenistan,"47,986",85
"Congo, Democratic Republic of the","46,062",86
Jordan,"42,609",87
Azerbaijan,"41,666",88
Tunisia,"39,226",89
Cameroon,"39,036",90
Bolivia,"38,938",91
Uganda,"37,733",92
Paraguay,"35,606",93
Bahrain,"34,624",94
Latvia,"33,015",95
Sudan,"32,576",96
Nepal,"32,158",97
Estonia,"30,468",98
Cambodia,"26,316",99
Macau,"26,348",—
El Salvador,"24,784",100
Senegal,"24,409",101
Honduras,"23,984",102
Papua New Guinea,"23,283",103
Cyprus,"23,246",104
Trinidad and Tobago,"22,718",105
Libya,"21,805",106
Yemen,"20,948",107
Iceland,"20,805",108
Afghanistan,"19,006",109
Zambia,"18,909",110
Bosnia and Herzegovina,"18,893",111
Lebanon,"18,734",112
Laos,"18,653",113
Mali,"17,685",114
Georgia,"16,316",115
Burkina Faso,"16,082",116
Botswana,"15,872",117
Benin,"15,292",118
Gabon,"15,145",119
West Bank and Gaza,"14,750",120
Mozambique,"14,557",121
Malta,"14,290",122
Guinea,"14,238",123
Jamaica,"14,228",124
Madagascar,"14,199",125
Albania,"14,034",126
Zimbabwe,"14,002",127
Mongolia,"13,385",128
Niger,"12,971",129
Armenia,"12,813",130
North Macedonia,"12,510",131
Nicaragua,"11,905",132
The Bahamas,"11,560",133
Mauritius,"11,341",134
Moldova,"11,241",135
Brunei,"10,647",136
Chad,"10,510",137
Rwanda,"10,428",138
Namibia,"10,252",139
Equatorial Guinea,"10,028",140
"Congo, Republic of the","9,964",141
Haiti,"8,347",142
Malawi,"8,330",143
Tajikistan,"7,898",144
Kosovo,"7,484",145
Kyrgyzstan,"7,480",146
Mauritania,"7,428",147
Guyana,"6,806",148
Togo,"5,719",149
Montenegro,"4,943",150
Somalia,"4,918",151
Maldives,"4,712",152
Barbados,"4,630",153
South Sudan,"4,177",154
Sierra Leone,"4,140",155
Fiji,"3,932",156
Eswatini,"3,848",157
Djibouti,"3,408",158
Burundi,"3,131",159
Liberia,"3,068",160
Bhutan,"2,587",161
Suriname,"2,538",162
Central African Republic,"2,321",163
Aruba,"2,288",—
Eritrea,"2,075",164
Timor-Leste,"1,920",165
Lesotho,"1,906",166
Cabo Verde,"1,870",167
The Gambia,"1,806",167
Saint Lucia,"1,770",168
Belize,"1,556",169
Solomon Islands,"1,551",170
San Marino,"1,410",171
Guinea-Bissau,"1,392",172
Antigua and Barbuda,"1,389",173
Comoros,"1,200",174
Seychelles,"1,198",175
Grenada,"1,074",176
Saint Kitts and Nevis,871,177
Vanuatu,864,178
Samoa,829,179
Saint Vincent and the Grenadines,777,180
Dominica,545,181
Tonga,503,182
São Tomé and Príncipe,417,183
"Micronesia, Federated States of",395,184
Palau,251,185
Marshall Islands,225,186
Kiribati,194,187
Nauru,114,188
Tuvalu,45,189
Syria,N/a,—
