Country/Territory,GDP(US$million),Rank
World[24],"85,085,189",
United States,"20,580,223",1
China[n 4],"13,608,152",2
Japan,"4,971,323",3
Germany,"3,949,549",4
United Kingdom,"2,855,297",5
India,"2,779,351",6
France,"2,778,892",7
Italy,"2,084,882",8
Brazil,"1,868,613",9
"Korea, South","1,720,489",10
Canada,"1,712,562",11
Russia[n 3],"1,660,514",12
Australia,"1,453,871",13
Spain,"1,419,735",14
Mexico,"1,223,401",15
Indonesia,"1,042,173",16
Netherlands,"914,105",17
Saudi Arabia,"782,484",18
Turkey,"771,355",19
Switzerland,"705,141",20
Poland,"585,661",21
Taiwan,"579,865",—
Sweden,"556,087",22
Belgium,"543,026",23
Argentina,"518,475",24
Thailand,"504,992",25
Iran,"473,091",26
Austria,"455,508",27
Norway,"434,167",28
Nigeria,"421,821",29
United Arab Emirates,"414,179",30
Ireland,"382,674",31
Israel,"370,588",32
South Africa,"368,094",33
Hong Kong,"362,682",—
Singapore,"361,115",34
Malaysia,"358,579",35
Denmark,"355,675",36
Philippines,"330,910",37
Colombia,"330,228",38
Chile,"298,231",39
Pakistan,"282,346",40
Finland,"276,878",41
Bangladesh,"269,628",42
Egypt,"249,751",43
Czech Republic,"245,226",44
Vietnam,"244,901",45
Portugal,"240,792",46
Romania,"239,552",47
Peru,"222,237",48
Greece,"218,139",49
Iraq,"212,272",50
Venezuela,"208,339",51
New Zealand,"207,921",52
Qatar,"191,362",53
Kazakhstan,"179,340",54
Algeria,"173,758",55
Hungary,"157,883",56
Kuwait,"141,698",57
Ukraine,"130,832",58
Morocco,"117,921",59
Ecuador,"108,398",60
Slovakia,"105,956",61
Angola,"105,902",62
Puerto Rico,"101,131",—
Cuba,"100,023",63
Oman,"92,112",64
Sri Lanka,"88,942",65
Kenya,"87,906",66
Dominican Republic,"81,299",67
Ethiopia,"80,293",68
Guatemala,"78,461",69
Myanmar,"72,745",70
Luxembourg,"70,920",71
Bulgaria,"66,199",72
Ghana,"65,535",73
Panama,"65,055",74
Croatia,"60,991",75
Costa Rica,"60,126",76
Belarus,"59,662",77
Uruguay,"59,597",78
Tanzania,"57,145",79
Lebanon,"56,409",80
Macau,"54,545",—
Slovenia,"54,034",81
Lithuania,"53,455",82
Serbia,"50,597",83
Sudan,"50,514",84
Uzbekistan,"50,500",85
"Congo, Democratic Republic of the","47,146",86
Azerbaijan,"46,939",87
Côte d'Ivoire,"43,028",88
Jordan,"42,231",89
Turkmenistan,"40,749",90
Paraguay,"40,308",91
Bolivia,"40,288",92
Tunisia,"39,895",93
Cameroon,"38,694",94
Bahrain,"37,876",95
Latvia,"34,426",96
Libya,"34,377",97
Estonia,"30,747",98
Uganda,"30,098",99
Nepal,"27,830",100
Zambia,"27,283",101
Yemen,"26,672",102
El Salvador,"26,057",103
Iceland,"25,882",104
Cyprus,"24,963",105
Cambodia,"24,572",106
Zimbabwe,"24,312",107
Honduras,"23,970",108
Senegal,"23,809",109
Trinidad and Tobago,"23,808",110
Papua New Guinea,"23,077",111
Afghanistan,"20,514",112
Bosnia and Herzegovina,"19,782",113
Botswana,"18,615",114
Laos,"17,954",115
Georgia,"17,600",116
"Korea, North","17,487",117
Mali,"17,172",118
Gabon,"16,994",119
Syria,"16,628",120
Palestine,"16,277",—
Burkina Faso,"16,200",121
Jamaica,"15,714",122
Albania,"15,059",123
Mozambique,"14,717",124
Malta,"14,549",125
Namibia,"14,519",126
Mauritius,"14,220",127
"Congo, Republic of the","14,173",128
Madagascar,"13,851",129
Brunei,"13,567",130
Equatorial Guinea,"13,324",131
Nicaragua,"13,118",132
Mongolia,"13,010",133
Niger,"12,821",134
North Macedonia,"12,629",135
Armenia,"12,433",136
"Bahamas, The","12,425",137
Guinea,"11,640",138
Chad,"11,387",139
Moldova,"11,309",140
Benin,"10,412",141
New Caledonia,"10,174",—
Rwanda,"9,510",142
Haiti,"9,287",143
South Sudan,"8,207",144
Kyrgyzstan,"8,093",145
Kosovo,"7,943",—
Mauritania,"7,620",146
Tajikistan,"7,523",147
Malawi,"7,196",148
Monaco,"7,189",149
Eritrea,"6,855",150
Liechtenstein,"6,796",151
Bermuda,"6,351",—
French Polynesia,"6,100",—
Fiji,"5,537",152
Montenegro,"5,507",153
Cayman Islands,"5,485",—
Maldives,"5,327",154
Togo,"5,166",155
Barbados,"5,087",156
Eswatini,"4,711",157
Sierra Leone,"4,101",158
Guyana,"3,818",159
Suriname,"3,458",160
Burundi,"3,285",161
Andorra,"3,238",162
Aruba,"3,203",—
Curaçao,"3,128",—
Greenland,"3,052",—
Djibouti,"2,923",163
Bhutan,"2,658",164
Lesotho,"2,631",165
Timor-Leste,"2,581",166
Central African Republic,"2,243",167
Liberia,"2,121",168
Cape Verde,"1,977",169
Saint Lucia,"1,922",170
Belize,"1,871",171
San Marino,"1,638",172
"Gambia, The","1,633",173
Zanzibar,"1,618",—
Antigua and Barbuda,"1,611",174
Seychelles,"1,590",175
Somalia,"1,495",176
Guinea-Bissau,"1,459",177
British Virgin Islands,"1,445",—
Solomon Islands,"1,271",178
Grenada,"1,169",179
Comoros,"1,166",180
Turks and Caicos Islands,"1,022",—
Saint Kitts and Nevis,"1,011",181
Sint Maarten,980,—
Vanuatu,889,182
Samoa,834,183
Saint Vincent and the Grenadines,811,184
Dominica,551,185
Tonga,504,186
São Tomé and Príncipe,411,187
"Micronesia, Federated States of",371,188
Cook Islands,363,—
Anguilla,293,—
Palau,284,189
Marshall Islands,214,190
Kiribati,189,191
Nauru,127,192
Montserrat,64,—
Tuvalu,46,193
